controller_type,param_value,seed,steps_survived,n_strikes_right,mean_dur_right,cv_dur_right,n_strikes_left,mean_dur_left,cv_dur_left
motor_noise,0.0,0,116,1,nan,nan,2,104.0,0.0
motor_noise,0.0,1,116,1,nan,nan,2,104.0,0.0
motor_noise,0.0,2,116,1,nan,nan,2,104.0,0.0
motor_noise,0.05,0,86,0,nan,nan,1,nan,nan
motor_noise,0.05,1,78,0,nan,nan,1,nan,nan
motor_noise,0.05,2,251,3,39.0,0.2564102564102564,2,162.0,0.0
motor_noise,0.1,0,108,0,nan,nan,1,nan,nan
motor_noise,0.1,1,78,0,nan,nan,1,nan,nan
motor_noise,0.1,2,96,1,nan,nan,1,nan,nan
motor_noise,0.2,0,102,0,nan,nan,1,nan,nan
motor_noise,0.2,1,57,1,nan,nan,1,nan,nan
motor_noise,0.2,2,110,1,nan,nan,1,nan,nan
motor_noise,0.3,0,113,0,nan,nan,1,nan,nan
motor_noise,0.3,1,74,0,nan,nan,1,nan,nan
motor_noise,0.3,2,88,1,nan,nan,1,nan,nan
motor_noise,0.5,0,85,1,nan,nan,1,nan,nan
motor_noise,0.5,1,107,1,nan,nan,2,91.0,0.0
motor_noise,0.5,2,113,1,nan,nan,1,nan,nan
