controller_type,param_name,param_value,seed,steps_survived,total_reward
motor_noise,noise_std,0.0,0,116,594.2516818976601
motor_noise,noise_std,0.0,1,116,594.2516818976601
motor_noise,noise_std,0.0,2,116,594.2516818976601
motor_noise,noise_std,0.05,0,86,485.64427121220535
motor_noise,noise_std,0.05,1,78,378.8815542542378
motor_noise,noise_std,0.05,2,251,835.3247755710839
motor_noise,noise_std,0.1,0,108,557.8767790932083
motor_noise,noise_std,0.1,1,78,397.45659669201075
motor_noise,noise_std,0.1,2,96,731.7615654163706
motor_noise,noise_std,0.2,0,102,599.3004792102055
motor_noise,noise_std,0.2,1,57,388.76286366852025
motor_noise,noise_std,0.2,2,110,588.5558704144568
motor_noise,noise_std,0.3,0,113,558.8700770950211
motor_noise,noise_std,0.3,1,74,419.76375702892204
motor_noise,noise_std,0.3,2,88,750.5996566321105
motor_noise,noise_std,0.5,0,85,879.0561811013262
motor_noise,noise_std,0.5,1,107,554.6098477099562
motor_noise,noise_std,0.5,2,113,1390.9821917072575
global_weakness,weakness_factor,1.0,both,116,594.2515871539619
global_weakness,weakness_factor,0.8,both,79,832.7132856625683
global_weakness,weakness_factor,0.6,both,1000,15804.04983514438
global_weakness,weakness_factor,0.4,both,63,817.3363298521058
global_weakness,weakness_factor,0.2,both,33,332.58795165954416
unilateral_weakness,weakness_factor,1.0,left,116,594.2515871539619
unilateral_weakness,weakness_factor,0.8,left,1000,15465.199847028924
unilateral_weakness,weakness_factor,0.6,left,1000,13645.60851294123
unilateral_weakness,weakness_factor,0.4,left,100,1331.6134440544035
unilateral_weakness,weakness_factor,0.2,left,83,828.9157969466562
unilateral_weakness,weakness_factor,1.0,right,116,594.2515871539619
unilateral_weakness,weakness_factor,0.8,right,115,497.5978970304714
unilateral_weakness,weakness_factor,0.6,right,66,619.8017570630459
unilateral_weakness,weakness_factor,0.4,right,126,836.1653660791557
unilateral_weakness,weakness_factor,0.2,right,127,1401.9444101095173
