strength_factor,steps_survived,mean_foot_R,mean_foot_L,n_post_transient_steps,asymmetry
1.0,116,0.5136544790007233,0.11106479469820049,86,0.40258968430252273
0.95,156,0.31496651166357853,0.15865296469217727,126,0.15631354697140126
0.9,104,0.27333544794234343,0.21950568188078784,74,0.053829766061555595
0.85,1000,0.24193147106794918,0.25173472717440365,970,0.009803256106454467
0.8,1000,0.23861102932049094,0.24604220905596677,970,0.007431179735475829
0.75,1000,0.2384348727626079,0.2332935381884426,970,0.005141334574165324
0.7,282,0.21599993550797505,0.27631643440833387,252,0.06031649890035881
0.65,354,0.21336919158398118,0.2422782822689931,324,0.028909090685011907
0.6,1000,0.2288129726235941,0.23598107579697275,970,0.007168103173378654
0.5,311,0.191197623142463,0.2231896966368635,281,0.0319920734944005
0.4,82,0.19698124199955,0.2080932422501945,52,0.011112000250644488
0.3,47,0.34271924944110493,0.09089261540489572,17,0.2518266340362092
0.2,35,0.2446572066402874,0.10496914880733202,5,0.13968805783295538
