jitter_std,noise_std,n_episodes,n_total_strikes,mean_stride_dur,cv_stride_dur,std_mean_dur_across_eps,mean_steps_survived,mean_distance,confidence
0.5,0.0,50,54,87.01851851851852,0.28888676596723883,20.201575557113348,139.72,1.4971021763853545,ok
0.5,0.05,50,108,88.99074074074075,0.27734051078442523,39.39621766983036,190.7,2.145583566768023,ok
0.5,0.1,50,156,88.9551282051282,0.2435408090053591,21.469599700419618,230.88,2.6484341373795615,ok
0.5,0.2,50,189,92.55555555555556,0.19477715144901714,19.372358368193137,274.36,3.315266212087185,ok
1.0,0.0,50,142,85.95774647887323,0.27093568519075373,16.34085374218058,207.22,2.3696032480753098,ok
1.0,0.05,50,212,90.81603773584905,0.2301655143822632,16.502968550333943,281.14,3.344298121049618,ok
1.0,0.1,50,189,90.41269841269842,0.23707682117616982,20.999672119715214,255.32,2.9709213172059425,ok
1.0,0.2,50,137,87.10218978102189,0.2850642706657568,21.610823199835785,209.48,2.332253971679297,ok
1.5,0.0,50,98,83.42857142857143,0.30682714572557007,24.382019276539992,161.34,1.817240754558999,ok
1.5,0.05,50,92,90.53260869565217,0.22677104799155076,8.831560900296553,170.76,1.8863672074872357,ok
1.5,0.1,50,88,87.76136363636364,0.3062826209246524,18.48959982227657,168.76,1.868030887356717,ok
1.5,0.2,50,87,91.64367816091954,0.21400626609377266,16.141101664537086,173.42,1.9348361466654496,ok
