jitter_std,noise_std,n_episodes,n_total_strikes,mean_stride_dur,cv_stride_dur,mean_steps_survived,mean_distance
0.0,0.0,15,15,104.0,0.0,116.0,1.2588879394082506
0.0,0.05,15,2,122.0,0.32786885245901637,112.06666666666666,1.1550260543358384
0.0,0.1,15,38,96.34210526315789,0.11554091009046365,223.13333333333333,2.6542900974881323
0.0,0.2,15,19,96.10526315789474,0.12421769755437477,156.8,1.7350831464960312
0.0,0.3,15,53,83.98113207547169,0.2838292937367944,234.53333333333333,2.9086082363800867
0.5,0.0,15,19,92.78947368421052,0.19910619154219483,158.0,1.7464991085226798
0.5,0.05,15,18,98.33333333333333,0.08261733970816232,148.26666666666668,1.6408296240088205
0.5,0.1,15,11,88.36363636363636,0.2908667477023897,122.46666666666667,1.2202061656779224
0.5,0.2,15,9,70.33333333333333,0.4200667261831344,113.86666666666666,1.3294247831955681
0.5,0.3,15,35,87.14285714285714,0.27699194287008105,196.8,2.443515654935551
1.0,0.0,15,25,77.52,0.3001685964774672,163.53333333333333,1.7838356004904112
1.0,0.05,15,103,90.88349514563107,0.2174630261744681,408.6666666666667,4.912953036821842
1.0,0.1,15,107,88.7196261682243,0.2378581224838705,398.2,4.8663924499682345
1.0,0.2,15,57,78.7719298245614,0.3644970111544403,233.93333333333334,2.693707745965772
1.0,0.3,15,22,94.36363636363636,0.13402914104090805,162.66666666666666,1.865048356662398
1.5,0.0,15,11,90.45454545454545,0.26446105193144637,115.93333333333334,1.118951557619072
1.5,0.05,15,31,94.3225806451613,0.1798476435517898,186.33333333333334,2.116699099985882
1.5,0.1,15,19,84.63157894736842,0.34132331107485453,154.2,1.7265543571850017
1.5,0.2,15,39,91.82051282051282,0.21113563688476067,216.33333333333334,2.488343661448437
1.5,0.3,15,16,78.6875,0.29880916940763985,135.93333333333334,1.481195747783065
2.0,0.0,15,23,83.1304347826087,0.34654781720785144,144.2,1.4775810317947446
2.0,0.05,15,3,86.33333333333333,0.14446553616887806,93.0,0.912081717103033
2.0,0.1,15,7,80.57142857142857,0.2238821860661645,102.66666666666667,1.159377505369769
2.0,0.2,15,17,87.3529411764706,0.2980298232656965,128.6,1.518198468315592
2.0,0.3,15,8,71.875,0.3935471954989213,98.0,1.0814753798628052
